month,day,week,airline,dest,dep_del,sch_elp,dist,sch_dep_m,act_dep_m,sch_arr_m,temp,dew,hum,wind,w_spd,gust,pres,cond,sch_dep,sch_arr,TAXI_OUT
11,1,4,4,55,-3,211,2586,420,417,631,53,51,93,SSW,8,0,29.9,Mostly Cloudy,18,23,19
11,1,4,3,55,-1,218,2586,425,424,643,53,51,93,SSW,8,0,29.9,Mostly Cloudy,37,24,15
11,1,4,4,55,-5,225,2586,495,490,720,57,55,93,SW,8,0,29.91,Partly Cloudy,47,20,18
11,1,4,3,55,-8,226,2586,540,532,766,59,55,87,SW,8,0,29.91,Mostly Cloudy,47,20,12
11,1,4,4,55,-4,215,2586,570,566,785,59,55,87,SW,8,0,29.91,Mostly Cloudy,38,23,23
11,1,4,3,55,-5,217,2586,685,680,902,64,56,75,S,7,0,29.87,Partly Cloudy,37,10,16
11,1,4,4,55,-4,210,2586,705,701,915,64,56,75,S,7,0,29.87,Partly Cloudy,37,10,16
11,1,4,4,55,1,223,2586,950,951,1173,62,59,90,SSW,7,0,29.84,Cloudy,32,30,37
11,1,4,3,55,-5,227,2586,960,955,1187,62,59,90,SSW,7,0,29.84,Cloudy,32,30,35
11,1,4,4,55,-2,241,2586,1165,1163,1406,61,60,97,S,16,0,29.83,Cloudy,52,28,33
11,1,4,3,55,0,231,2586,1200,1200,1431,61,60,97,S,16,0,29.83,Cloudy,22,43,55
11,1,4,3,55,-4,215,2586,1309,1305,84,60,60,10,S,16,0,29.82,Cloudy,36,27,25
11,2,5,4,55,7,211,2586,420,427,631,63,63,10,S,21,0,29.71,Cloudy / Windy,37,27,22
11,2,5,3,55,56,218,2586,425,481,643,63,63,10,S,22,29,29.71,Light Rain / Windy,49,19,45
11,2,5,4,55,-4,225,2586,495,491,720,63,63,10,S,22,29,29.71,Light Rain / Windy,49,19,29
11,2,5,3,55,-1,226,2586,540,539,766,64,63,96,S,21,0,29.72,Cloudy / Windy,49,19,34
11,2,5,4,55,12,215,2586,570,582,785,64,63,96,S,22,29,29.71,Cloudy / Windy,40,25,35
11,2,5,3,55,-8,217,2586,685,677,902,65,64,97,S,18,0,29.72,Cloudy,35,12,10
11,2,5,4,55,-4,210,2586,705,701,915,65,64,97,S,22,29,29.72,Mostly Cloudy / Windy,35,12,20
11,2,5,4,55,-5,223,2586,950,945,1173,62,62,10,S,21,0,29.7,Fog / Windy,32,29,36
11,2,5,3,55,-6,227,2586,960,954,1187,62,62,10,S,21,0,29.7,Fog / Windy,32,29,34
11,2,5,4,55,34,241,2586,1165,1199,1406,62,62,10,S,18,28,29.72,Fog,50,29,34
11,2,5,3,55,15,231,2586,1200,1215,1431,62,62,10,S,18,28,29.72,Fog,23,40,40
11,2,5,3,55,-1,215,2586,1309,1308,84,62,62,10,S,15,0,29.7,Fog,35,30,76
11,3,6,4,55,1,218,2586,495,496,713,58,58,10,WSW,22,0,29.61,Cloudy / Windy,43,12,22
11,3,6,3,55,-7,226,2586,540,533,766,56,54,93,W,25,36,29.65,Cloudy / Windy,43,12,34
11,3,6,3,55,-9,217,2586,685,676,902,56,46,69,W,26,35,29.73,Mostly Cloudy / Windy,31,10,16
11,3,6,4,55,-5,205,2586,705,700,910,55,44,67,W,33,40,29.75,Mostly Cloudy / Windy,31,10,16
11,3,6,4,55,34,217,2586,950,984,1167,57,34,42,WNW,23,37,29.98,Fair / Windy,25,37,10
11,3,6,3,55,-8,227,2586,960,952,1187,57,34,42,WNW,23,37,29.98,Fair / Windy,32,30,23
11,3,6,4,55,1,231,2586,1165,1166,1396,53,36,52,W,14,0,30.18,Fair,46,27,48
11,3,6,3,55,10,231,2586,1200,1210,1431,53,36,52,W,14,0,30.18,Fair,20,38,26
11,4,7,4,55,-6,222,2586,420,414,642,45,32,60,NNW,7,0,30.5,Fair,19,24,19
11,4,7,3,55,-7,218,2586,425,418,643,45,32,60,NNW,7,0,30.5,Fair,19,24,21
11,4,7,4,55,-8,230,2586,490,482,720,47,32,56,NW,7,0,30.54,Partly Cloudy,47,18,24
11,4,7,3,55,-5,226,2586,540,535,766,49,32,52,NNW,12,0,30.54,Partly Cloudy,47,18,29
11,4,7,4,55,-3,231,2586,570,567,801,49,32,52,NNW,12,0,30.54,Partly Cloudy,40,17,34
11,4,7,3,55,-8,217,2586,685,677,902,52,32,47,N,8,0,30.52,Partly Cloudy,32,13,19
11,4,7,4,55,-3,209,2586,710,707,919,52,32,47,N,8,0,30.52,Partly Cloudy,32,13,15
11,4,7,4,55,5,222,2586,950,955,1172,52,36,54,S,7,0,30.49,Fair,36,34,19
11,4,7,3,55,18,227,2586,960,978,1187,52,36,54,S,7,0,30.49,Fair,36,34,21
11,4,7,4,55,8,213,2586,1019,1027,1232,48,37,66,SSE,6,0,30.48,Partly Cloudy,34,35,17
11,4,7,4,55,0,239,2586,1110,1110,1349,49,37,64,CALM,0,0,30.49,Partly Cloudy,39,40,26
11,4,7,3,55,-1,231,2586,1200,1199,1431,47,38,71,ENE,5,0,30.49,Partly Cloudy,49,32,33
11,4,7,4,55,-2,234,2586,1255,1253,49,44,38,79,ENE,5,0,30.49,Partly Cloudy,30,47,27
11,4,7,3,55,34,215,2586,1309,1343,84,45,40,82,ENE,6,0,30.49,Partly Cloudy,30,31,21
11,5,1,4,55,-7,222,2586,420,413,642,53,46,77,ESE,14,0,30.42,Cloudy,17,22,21
11,5,1,3,55,172,211,2586,425,597,636,51,49,92,E,15,22,30.38,Light Rain,43,26,26
11,5,1,4,55,5,230,2586,490,495,720,52,48,86,E,13,0,30.4,Light Rain,47,19,41
11,5,1,3,55,55,219,2586,540,595,759,51,49,92,E,15,22,30.38,Light Rain,43,26,22
11,5,1,4,55,-1,231,2586,570,569,801,52,48,86,E,16,24,30.39,Light Rain,43,26,23
11,5,1,3,55,19,210,2586,685,704,895,52,51,97,ENE,14,0,30.34,Light Rain,32,14,23
11,5,1,4,55,-8,209,2586,710,702,919,52,51,97,ENE,14,0,30.34,Light Rain,32,14,22
11,5,1,4,55,7,222,2586,950,957,1172,54,52,93,ENE,13,0,30.22,Cloudy,37,32,14
11,5,1,3,55,-2,227,2586,960,958,1187,54,52,93,ENE,13,0,30.22,Cloudy,37,32,24
11,5,1,4,55,45,213,2586,1019,1064,1232,52,52,10,ENE,14,0,30.19,Light Rain,36,32,28
11,5,1,4,55,44,239,2586,1110,1154,1349,52,52,10,NE,8,0,30.17,Light Rain,48,28,11
11,5,1,3,55,3,231,2586,1200,1203,1431,52,52,10,NE,8,0,30.17,Light Rain,28,46,40
11,5,1,4,55,4,234,2586,1255,1259,49,52,52,10,NNE,13,0,30.13,Light Rain,28,46,28
11,5,1,3,55,5,215,2586,1309,1314,84,52,52,10,NE,14,0,30.09,Light Rain,32,29,18
11,6,2,4,55,-6,222,2586,420,414,642,51,51,10,E,5,0,30.01,Drizzle and Fog,16,20,36
11,6,2,3,55,-5,211,2586,425,420,636,51,51,10,E,5,0,30.01,Drizzle and Fog,39,26,34
11,6,2,4,55,-6,230,2586,490,484,720,51,51,10,E,7,0,29.98,Fog,46,16,29
11,6,2,3,55,-3,219,2586,540,537,759,52,52,10,E,8,0,29.95,Drizzle and Fog,46,16,26
11,6,2,4,55,0,231,2586,570,570,801,52,52,10,E,8,0,29.95,Drizzle and Fog,41,20,28
11,6,2,3,55,-5,210,2586,685,680,895,54,54,10,ESE,7,0,29.91,Light Rain,28,12,30
11,6,2,4,55,-3,209,2586,710,707,919,54,54,10,ESE,7,0,29.91,Light Rain,28,12,24
11,6,2,4,55,-1,222,2586,950,949,1172,59,58,96,CALM,0,0,29.79,Cloudy,31,32,35
11,6,2,3,55,-2,227,2586,960,958,1187,57,57,10,SSE,6,0,29.78,Light Rain,31,32,34
11,6,2,4,55,41,213,2586,1025,1066,1238,57,57,10,SSW,8,0,29.8,Cloudy,31,29,21
11,6,2,4,55,-4,243,2586,1165,1161,1408,58,58,10,S,10,0,29.8,Cloudy,46,28,34
11,6,2,3,55,24,231,2586,1200,1224,1431,58,58,10,S,14,0,29.82,Mostly Cloudy,26,42,24
11,6,2,3,55,-8,215,2586,1309,1301,84,58,58,10,S,14,0,29.82,Mostly Cloudy,30,25,22
11,7,3,4,55,-4,222,2586,420,416,642,51,45,80,WSW,15,0,29.98,Fair,18,21,21
11,7,3,3,55,3,211,2586,425,428,636,51,45,80,WSW,15,0,29.98,Fair,38,27,23
11,7,3,4,55,-3,230,2586,490,487,720,54,45,72,WSW,15,0,30.01,Fair,46,17,16
11,7,3,3,55,-4,219,2586,540,536,759,55,46,72,WSW,18,0,30.02,Fair,46,17,13
11,7,3,4,55,-4,231,2586,570,566,801,55,46,72,WSW,18,0,30.02,Fair,40,20,21
11,7,3,3,55,3,210,2586,685,688,895,59,43,55,SW,12,0,30.01,Fair,31,14,19
11,7,3,4,55,-5,209,2586,710,705,919,59,43,55,SW,12,0,30.01,Fair,31,14,12
11,7,3,4,55,3,222,2586,950,953,1172,61,43,52,WSW,16,0,29.98,Mostly Cloudy,35,31,23
11,7,3,3,55,-1,227,2586,960,959,1187,61,43,52,WSW,16,0,29.98,Mostly Cloudy,35,31,20
11,7,3,4,55,-1,213,2586,1019,1018,1232,59,45,60,WSW,15,0,30.01,Mostly Cloudy,33,35,29
11,7,3,4,55,-1,243,2586,1165,1164,1408,58,45,62,SW,16,0,30.04,Cloudy,45,27,39
11,7,3,3,55,-7,231,2586,1200,1193,1431,58,45,62,SW,16,0,30.04,Cloudy,45,27,50
11,7,3,3,55,-10,215,2586,1309,1299,84,57,46,67,SW,14,0,30.04,Cloudy,30,25,31
11,8,4,4,55,5,222,2586,420,425,642,47,32,56,NW,13,0,30.19,Mostly Cloudy,42,28,20
11,8,4,3,55,-1,211,2586,425,424,636,47,32,56,NW,13,0,30.19,Mostly Cloudy,42,28,25
11,8,4,4,55,-5,230,2586,490,485,720,48,32,54,NNW,13,0,30.22,Mostly Cloudy,49,19,23
11,8,4,3,55,-7,219,2586,540,533,759,49,33,54,NNW,9,0,30.24,Mostly Cloudy,49,19,16
11,8,4,4,55,-3,231,2586,570,567,801,49,33,54,NNW,9,0,30.24,Mostly Cloudy,44,23,21
11,8,4,3,55,-4,210,2586,685,681,895,52,32,47,NNW,9,0,30.24,Mostly Cloudy,33,16,15
11,8,4,4,55,-3,209,2586,710,707,919,52,32,47,NNW,9,0,30.24,Mostly Cloudy,33,16,21
11,8,4,4,55,-2,222,2586,950,948,1172,56,32,40,NW,7,0,30.22,Partly Cloudy,38,33,21
11,8,4,3,55,-7,227,2586,960,953,1187,52,38,59,SSW,9,0,30.24,Fair,38,33,29
11,8,4,4,55,17,213,2586,1019,1036,1232,52,39,61,SE,6,0,30.25,Fair,35,34,20
11,8,4,4,55,-1,239,2586,1110,1109,1349,51,35,54,N,12,0,30.28,Fair,40,41,34
11,8,4,3,55,-7,231,2586,1200,1193,1431,51,33,50,N,10,0,30.29,Partly Cloudy,47,30,48
11,8,4,4,55,-3,234,2586,1255,1252,49,50,32,50,NNW,16,0,30.3,Partly Cloudy,31,46,23
11,8,4,3,55,29,215,2586,1309,1338,84,48,33,56,N,15,0,30.32,Fair,28,33,19
11,9,5,4,55,-9,222,2586,420,411,642,40,33,77,NNE,7,0,30.33,Partly Cloudy,18,25,24
11,9,5,3,55,-4,211,2586,425,421,636,40,33,77,NNE,7,0,30.33,Partly Cloudy,40,28,25
11,9,5,4,55,-4,230,2586,490,486,720,45,35,68,NE,8,0,30.33,Mostly Cloudy,49,18,21
11,9,5,3,55,-2,219,2586,540,538,759,48,33,56,E,14,0,30.29,Mostly Cloudy,49,18,19
11,9,5,4,55,-2,231,2586,570,568,801,48,33,56,E,14,0,30.29,Mostly Cloudy,46,25,15
11,9,5,3,55,56,210,2586,685,741,895,51,43,74,E,12,0,30.23,Light Rain,20,30,27
11,9,5,4,55,147,209,2586,710,857,919,52,44,74,ESE,15,0,30.15,Cloudy,27,45,35
11,9,5,4,55,4,222,2586,950,954,1172,51,49,92,E,12,0,30.07,Light Rain,38,30,27
11,9,5,3,55,4,227,2586,960,964,1187,51,49,92,E,12,0,30.07,Light Rain,36,38,34
11,9,5,4,55,90,213,2586,1019,1109,1232,51,51,10,ENE,14,0,29.97,Rain,38,40,39
11,9,5,4,55,107,239,2586,1110,1217,1349,51,51,10,NNW,7,0,29.98,Rain,30,48,76
11,9,5,3,55,79,231,2586,1200,1279,1431,51,51,10,NE,12,0,29.91,Light Rain,32,29,57
11,9,5,4,55,30,234,2586,1255,1285,49,51,51,10,NE,12,0,29.91,Light Rain,32,29,38
11,9,5,3,55,-1,215,2586,1309,1308,84,51,51,10,NE,12,0,29.91,Light Rain,32,29,27
11,10,6,4,55,-2,230,2586,490,488,720,45,38,76,WNW,20,28,29.89,Partly Cloudy,44,14,27
11,10,6,3,55,-7,219,2586,540,533,759,47,33,59,W,23,31,29.91,Mostly Cloudy / Windy,44,14,28
11,10,6,3,55,-6,210,2586,685,679,895,47,27,46,WNW,23,33,29.93,Mostly Cloudy / Windy,30,13,24
11,10,6,4,55,-4,206,2586,710,706,916,47,27,46,WNW,23,33,29.93,Mostly Cloudy / Windy,30,13,16
11,10,6,4,55,-3,218,2586,950,947,1168,44,20,38,W,28,37,30.02,Partly Cloudy / Windy,34,33,25
11,10,6,3,55,-9,227,2586,960,951,1187,42,15,34,WNW,25,33,30.07,Partly Cloudy / Windy,34,33,25
11,10,6,4,55,9,239,2586,1165,1174,1404,39,14,36,WNW,18,24,30.16,Fair,45,29,45
11,10,6,3,55,-6,231,2586,1200,1194,1431,39,14,36,WNW,18,24,30.16,Fair,45,29,44
11,11,7,4,55,-7,231,2586,420,413,651,36,22,57,NW,10,0,30.35,Fair,19,25,27
11,11,7,3,55,-6,211,2586,425,419,636,36,22,57,NW,10,0,30.35,Fair,19,25,19
11,11,7,4,55,-7,230,2586,490,483,720,37,25,62,W,10,0,30.38,Fair,49,19,24
11,11,7,3,55,-2,219,2586,540,538,759,39,23,53,WNW,9,0,30.38,Fair,49,19,20
11,11,7,4,55,-3,231,2586,570,567,801,39,23,53,WNW,9,0,30.38,Fair,39,18,16
11,11,7,3,55,-8,210,2586,685,677,895,43,22,43,NW,15,0,30.36,Fair,34,14,18
11,11,7,4,55,-3,209,2586,710,707,919,43,22,43,NW,15,0,30.36,Fair,34,14,25
11,11,7,4,55,-2,222,2586,950,948,1172,46,23,40,W,13,0,30.31,Fair,38,34,61
11,11,7,3,55,-5,227,2586,960,955,1187,46,23,40,W,9,0,30.32,Fair,38,34,41
11,11,7,4,55,25,213,2586,1045,1070,1258,44,23,43,W,10,0,30.33,Fair,35,34,19
11,11,7,4,55,-4,245,2586,1100,1096,1345,43,24,47,W,7,0,30.34,Fair,40,41,26
11,11,7,3,55,18,231,2586,1200,1218,1431,43,23,45,W,7,0,30.35,Fair,30,49,39
11,11,7,4,55,-2,234,2586,1255,1253,49,42,24,49,NW,6,0,30.37,Fair,30,49,22
11,11,7,3,55,1,215,2586,1309,1310,84,42,24,49,NW,6,0,30.37,Fair,31,27,21
11,12,1,4,55,-3,222,2586,420,417,642,33,30,89,CALM,0,0,30.42,Partly Cloudy,17,23,13
11,12,1,3,55,-8,211,2586,425,417,636,33,30,89,CALM,0,0,30.42,Partly Cloudy,17,23,15
11,12,1,4,55,-5,230,2586,490,485,720,36,31,82,CALM,0,0,30.44,Partly Cloudy,48,20,18
11,12,1,3,55,-7,219,2586,540,533,759,44,34,68,CALM,0,0,30.45,Mostly Cloudy,48,20,16
11,12,1,4,55,-4,231,2586,570,566,801,44,34,68,CALM,0,0,30.45,Mostly Cloudy,44,27,23
11,12,1,3,55,17,210,2586,685,702,895,48,32,54,WSW,8,0,30.46,Mostly Cloudy,34,14,22
11,12,1,4,55,19,209,2586,710,729,919,48,28,46,SSW,7,0,30.42,Mostly Cloudy,21,30,17
11,12,1,4,55,-4,222,2586,950,946,1172,47,34,61,S,6,0,30.37,Cloudy,38,34,41
11,12,1,3,55,73,227,2586,960,1033,1187,44,36,73,E,5,0,30.38,Cloudy,36,33,38
11,12,1,4,55,23,213,2586,1035,1058,1248,44,36,73,E,5,0,30.38,Cloudy,36,33,33
11,12,1,4,55,26,239,2586,1110,1136,1349,44,37,76,E,5,0,30.36,Cloudy,39,40,25
11,12,1,3,55,56,231,2586,1200,1256,1431,44,38,79,ENE,5,0,30.35,Cloudy,29,46,28
11,12,1,4,55,46,234,2586,1255,1301,49,44,38,79,ENE,5,0,30.35,Cloudy,30,29,19
11,12,1,3,55,-7,215,2586,1309,1302,84,44,38,79,ENE,5,0,30.35,Cloudy,30,29,22
11,13,2,4,55,-5,222,2586,420,415,642,52,52,10,ENE,5,0,29.97,Rain,16,21,15
11,13,2,3,55,-3,211,2586,425,422,636,52,52,10,ENE,5,0,29.97,Rain,39,27,25
11,13,2,4,55,0,230,2586,490,490,720,56,56,10,E,13,0,29.88,Rain,46,17,34
11,13,2,3,55,17,219,2586,540,557,759,56,56,10,E,8,0,29.83,Rain,42,23,20
11,13,2,4,55,9,231,2586,570,579,801,56,56,10,E,8,0,29.83,Rain,42,23,28
11,13,2,3,55,-7,210,2586,685,678,895,50,50,10,NNW,21,0,29.81,Light Rain / Windy,32,13,16
11,13,2,4,55,0,209,2586,710,710,919,50,50,10,NNW,17,0,29.81,Light Rain,32,13,14
11,13,2,4,55,20,222,2586,950,970,1172,49,40,71,WNW,18,0,29.92,Cloudy,32,34,64
11,13,2,3,55,84,227,2586,960,1044,1187,47,36,66,NW,25,30,29.94,Cloudy / Windy,30,31,42
11,13,2,4,55,29,213,2586,1025,1054,1238,47,36,66,NW,25,30,29.94,Cloudy / Windy,30,31,41
11,13,2,4,55,28,243,2586,1165,1193,1408,46,35,66,WNW,24,28,30.01,Cloudy / Windy,46,29,54
11,13,2,3,55,14,231,2586,1200,1214,1431,46,35,66,WNW,24,28,30.01,Cloudy / Windy,26,44,43
11,13,2,3,55,-5,215,2586,1309,1304,84,45,33,63,WNW,17,26,30.03,Cloudy,30,25,28
11,14,3,4,55,-5,222,2586,420,415,642,37,21,52,WNW,21,28,30.31,Mostly Cloudy / Windy,18,22,18
11,14,3,3,55,-6,211,2586,425,419,636,37,21,52,WNW,21,28,30.31,Mostly Cloudy / Windy,18,22,17
11,14,3,4,55,-4,230,2586,490,486,720,37,20,50,W,20,0,30.34,Mostly Cloudy,46,18,40
11,14,3,3,55,-5,219,2586,540,535,759,38,18,44,NW,18,0,30.37,Mostly Cloudy,46,18,30
11,14,3,4,55,-2,231,2586,570,568,801,38,18,44,NW,18,0,30.37,Mostly Cloudy,41,22,17
11,14,3,3,55,57,210,2586,685,742,895,40,14,35,NW,24,30,30.4,Mostly Cloudy / Windy,21,29,37
11,14,3,4,55,7,209,2586,710,717,919,40,14,35,NW,24,30,30.4,Mostly Cloudy / Windy,34,14,17
11,14,3,4,55,1,222,2586,950,951,1172,38,16,41,NNW,18,0,30.46,Mostly Cloudy,37,31,35
11,14,3,3,55,21,227,2586,960,981,1187,38,16,41,NNW,18,0,30.46,Mostly Cloudy,34,35,19
11,14,3,4,55,25,213,2586,1019,1044,1232,36,15,43,NNW,16,0,30.48,Mostly Cloudy,29,31,37
11,14,3,4,55,-3,243,2586,1165,1162,1408,35,16,46,N,12,0,30.52,Cloudy,46,27,13
11,14,3,3,55,-4,231,2586,1200,1196,1431,35,16,46,N,12,0,30.52,Cloudy,46,27,22
11,14,3,3,55,-6,215,2586,1309,1303,84,34,14,44,NNW,17,0,30.54,Mostly Cloudy,29,26,20
11,15,4,4,55,-3,222,2586,420,417,642,31,17,57,ENE,7,0,30.56,Cloudy,16,24,15
11,15,4,3,55,-4,211,2586,425,421,636,31,17,57,ENE,7,0,30.56,Cloudy,42,28,22
11,15,4,4,55,-7,230,2586,490,483,720,32,17,54,NE,13,0,30.56,Cloudy,49,19,23
11,15,4,3,55,-6,219,2586,540,534,759,33,15,48,NE,9,0,30.55,Cloudy,49,19,14
11,15,4,4,55,34,231,2586,570,604,801,34,17,50,NE,10,0,30.55,Cloudy,21,22,28
11,15,4,3,55,66,210,2586,685,751,895,35,21,57,NE,17,0,30.46,Cloudy,21,31,21
11,15,4,4,55,35,209,2586,710,745,919,35,21,57,NE,17,0,30.46,Cloudy,21,31,17
11,15,4,4,55,95,222,2586,950,1045,1172,32,32,10,NE,16,0,30.25,Light Snow,34,33,103
11,15,4,3,55,474,227,2586,960,1434,1187,36,35,97,ENE,26,35,29.96,Light Rain / Windy,17,19,62
11,15,4,4,55,352,213,2586,1019,1371,1232,36,35,97,ENE,26,35,29.96,Light Rain / Windy,27,35,63
11,15,4,4,55,940,239,2586,1110,610,1349,34,17,50,NE,10,0,30.55,Cloudy,21,22,35
11,15,4,3,55,94,231,2586,1200,1294,1431,34,34,10,NE,22,0,30.1,Wintry Mix / Windy,33,28,90
11,15,4,4,55,207,234,2586,1255,22,49,37,36,96,ENE,33,39,29.84,Light Rain / Windy,11,15,48
11,15,4,3,55,151,215,2586,1309,20,84,37,36,96,ENE,33,39,29.84,Light Rain / Windy,11,15,40
11,16,5,4,55,375,222,2586,420,795,642,46,34,63,W,20,29,29.7,Partly Cloudy,24,49,30
11,16,5,3,55,2,211,2586,425,427,636,38,38,10,NW,29,39,29.45,Light Snow / Windy,41,28,26
11,16,5,4,55,31,230,2586,490,521,720,36,35,97,NNW,29,45,29.52,Light Rain / Windy,48,19,25
11,16,5,3,55,64,219,2586,540,604,759,41,38,89,NW,17,25,29.65,Mostly Cloudy,20,23,18
11,16,5,4,55,343,231,2586,570,913,801,45,34,65,W,17,24,29.76,Mostly Cloudy,39,32,35
11,16,5,3,55,40,210,2586,685,725,895,45,35,68,WNW,21,32,29.67,Partly Cloudy / Windy,21,30,29
11,16,5,4,55,468,209,2586,710,1178,919,42,32,67,W,22,0,29.87,Fair / Windy,49,29,27
11,16,5,4,55,122,222,2586,950,1072,1172,43,33,68,W,18,26,29.86,Mostly Cloudy,37,35,17
11,16,5,3,55,130,227,2586,960,1090,1187,43,33,68,W,18,26,29.86,Mostly Cloudy,39,41,23
11,16,5,4,55,159,213,2586,1040,1199,1253,42,32,67,W,22,0,29.87,Fair / Windy,49,29,29
11,16,5,4,55,398,239,2586,1110,68,1349,39,32,76,W,16,0,29.99,Mostly Cloudy,5,1,13
11,16,5,3,55,131,231,2586,1200,1331,1431,40,32,73,W,16,0,29.91,Fair,31,32,18
11,16,5,4,55,94,234,2586,1255,1349,49,40,32,73,W,16,0,29.91,Fair,31,32,13
11,16,5,3,55,-1,215,2586,1309,1308,84,41,31,67,WSW,17,0,29.89,Fair,32,31,14
11,17,6,4,55,44,230,2586,490,534,720,44,35,71,W,12,0,30.17,Fair,45,16,40
11,17,6,3,55,-3,219,2586,540,537,759,44,35,71,W,12,0,30.17,Fair,45,16,34
11,17,6,3,55,47,210,2586,685,732,895,48,31,52,WNW,17,25,30.17,Mostly Cloudy,18,24,15
11,17,6,4,55,-5,206,2586,710,705,916,48,32,54,WNW,17,0,30.17,Mostly Cloudy,27,13,16
11,17,6,4,55,14,218,2586,950,964,1168,47,31,54,W,13,0,30.19,Cloudy,28,29,23
11,17,6,3,55,0,227,2586,960,960,1187,47,31,54,W,13,0,30.19,Cloudy,28,29,19
11,17,6,4,55,-4,239,2586,1165,1161,1404,45,32,60,WNW,14,0,30.24,Cloudy,47,29,18
11,17,6,3,55,14,231,2586,1200,1214,1431,45,32,60,WNW,14,0,30.24,Cloudy,28,39,17
11,18,7,4,55,-8,222,2586,420,412,642,39,26,60,N,7,0,30.37,Mostly Cloudy,21,22,18
11,18,7,3,55,-5,211,2586,425,420,636,39,26,60,N,7,0,30.37,Mostly Cloudy,38,29,24
11,18,7,4,55,-4,230,2586,490,486,720,40,27,60,NNW,7,0,30.39,Mostly Cloudy,48,19,22
11,18,7,3,55,0,219,2586,540,540,759,41,27,57,NNE,5,0,30.4,Mostly Cloudy,40,18,20
11,18,7,4,55,-5,231,2586,570,565,801,41,27,57,NNE,5,0,30.4,Mostly Cloudy,40,18,17
11,18,7,3,55,1,210,2586,685,686,895,42,27,55,VAR,5,0,30.38,Mostly Cloudy,29,14,24
11,18,7,4,55,-2,209,2586,710,708,919,42,27,55,VAR,5,0,30.38,Mostly Cloudy,29,14,27
11,18,7,4,55,23,235,2586,950,973,1185,42,31,65,ESE,5,0,30.31,Cloudy,35,33,21
11,18,7,3,55,-3,227,2586,959,956,1186,42,31,65,ESE,5,0,30.31,Cloudy,38,35,23
11,18,7,4,55,19,239,2586,1110,1129,1349,43,33,68,ENE,6,0,30.29,Cloudy,37,41,29
11,18,7,3,55,-6,231,2586,1200,1194,1431,43,34,71,NE,7,0,30.28,Cloudy,46,31,38
11,18,7,3,55,-6,215,2586,1309,1303,84,43,34,71,ENE,5,0,30.27,Cloudy,31,29,17
11,19,1,4,55,-4,222,2586,420,416,642,42,41,96,CALM,0,0,30.13,Cloudy,17,21,19
11,19,1,3,55,-10,211,2586,425,415,636,42,41,96,CALM,0,0,30.13,Cloudy,17,21,21
11,19,1,4,55,-3,230,2586,490,487,720,46,45,96,WSW,6,0,30.14,Mostly Cloudy,48,19,22
11,19,1,3,55,15,219,2586,540,555,759,47,45,93,W,8,0,30.14,Cloudy,40,24,14
11,19,1,4,55,-4,231,2586,570,566,801,47,45,93,W,8,0,30.14,Cloudy,40,24,15
11,19,1,3,55,55,210,2586,685,740,895,49,44,83,WSW,8,0,30.08,Haze,19,24,27
11,19,1,4,55,35,209,2586,710,745,919,49,44,83,WSW,8,0,30.08,Haze,19,24,17
11,19,1,4,55,36,222,2586,950,986,1172,47,44,90,SW,7,0,30.03,Mostly Cloudy,34,34,15
11,19,1,3,55,78,227,2586,959,1037,1186,47,43,86,CALM,0,0,30.02,Mostly Cloudy,32,31,37
11,19,1,4,55,47,239,2586,1110,1157,1349,47,42,83,E,5,0,29.99,Cloudy,45,30,42
