Date,Departure,Arrival,POI,I/D,,,,
31.3,23:45,17:35,Tel Aviv-Yafo,1,,,,
31.3,23:50,13:50,Accra,1,,,,
31.3,23:59,03:41,San Juan,1,,,,
31.3,00:50,18:20,Tel Aviv-Yafo,1,,,,
31.3,01:00,20:30,Doha,1,,,,
31.3,01:15,03:00,Chicago,0,,,,
31.3,01:25,04:15,Taipei,1,Date,Departure,Arrival,POI
31.3,02:05,05:55,Anchorage,0,,,,
31.3,02:12,06:41,Panama City,0,,,,
31.3,02:20,05:20,Houston,0,,,,
31.3,02:30,15:20,Brussels,1,,,,
31.3,04:10,07:05,San Salvador,1,,,,
31.3,04:35,18:15,Milan,1,,,,
31.3,04:35,17:15,Milan,1,,,,
31.3,04:45,17:33,Frankfurt,1,,,,
31.3,04:45,18:20,Frankfurt,1,,,,
31.3,05:01,08:29,Santiago,1,,,,
31.3,05:01,08:39,Santo Domingo,1,,,,
31.3,05:40,08:41,Fort Lauderdale,0,,,,
31.3,05:55,09:27,Santiago,1,,,,
31.3,06:00,09:47,San Juan,1,,,,
31.3,06:00,08:33,Atlanta,0,,,,
31.3,06:00,09:09,Miami,0,,,,
31.3,06:01,08:50,Kingston,1,,,,
31.3,06:01,09:47,Port Au Prince,1,,,,
31.3,06:14,08:21,Charlotte,0,,,,
31.3,06:20,18:25,Leicestershire,1,,,,
31.3,06:29,08:09,Cincinnati,0,,,,
31.3,06:45,07:55,Boston,0,,,,
31.3,06:55,10:33,Salt Lake City,0,,,,
31.3,06:59,10:24,Los Angeles,0,,,,
31.3,07:00,10:23,Seattle,0,,,,
31.3,07:00,12:40,Georgetown,0,,,,
31.3,07:00,12:51,Georgetown,0,,,,
31.3,07:00,10:17,Fort Myers,0,,,,
31.3,07:01,07:34,Hartford,0,,,,
31.3,07:05,10:08,Tampa,0,,,,
31.3,07:10,10:33,Seattle,0,,,,
31.3,07:10,10:17,Fort Lauderdale,0,,,,
31.3,07:10,10:18,Miami,0,,,,
31.3,07:15,09:33,Minneapolis,0,,,,
31.3,07:19,10:13,Orlando,0,,,,
31.3,07:25,10:39,Fort Myers,0,,,,
31.3,07:29,11:15,Punta Cana,1,,,,
31.3,07:29,10:36,Fort Worth,0,,,,
31.3,07:30,10:03,Jacksonville,0,,,,
31.3,07:30,10:50,Austin,0,,,,
31.3,07:30,11:55,Aruba,1,,,,
31.3,07:30,11:08,San Francisco,0,,,,
31.3,07:30,10:17,Bogota,1,,,,
31.3,07:41,10:50,Cancun,1,,,,
31.3,07:45,11:13,San Diego,0,,,,
31.3,07:45,11:00,Miami,0,,,,
31.3,07:50,10:30,Denver,0,,,,
31.3,07:55,11:42,Louisville,0,,,,
31.3,07:59,11:56,San Francisco,0,,,,
31.3,07:59,11:14,Miami,0,,,,
31.3,07:59,11:41,San Francisco,0,,,,
31.3,08:00,11:11,Fort Lauderdale,0,,,,
31.3,08:00,09:44,Raleigh/Durham,0,,,,
31.3,08:00,10:38,Jacksonville,0,,,,
31.3,08:00,11:58,Saint Thomas,0,,,,
31.3,08:00,11:28,Los Angeles,0,,,,
31.3,08:00,19:40,London,1,,,,
31.3,08:00,11:13,Cancun,1,,,,
31.3,08:00,11:04,Montego Bay,1,,,,
31.3,08:00,11:46,Santo Domingo,1,,,,
31.3,08:00,10:55,Montego Bay,1,,,,
31.3,08:00,11:50,Santiago,1,,,,
31.3,08:01,11:09,San Diego,0,,,,
31.3,08:05,11:57,San Juan,1,,,,
31.3,08:10,12:16,Punta Cana,1,,,,
31.3,08:15,11:35,Los Angeles,0,,,,
31.3,08:15,22:21,Leipzig/Halle,1,,,,
31.3,08:20,10:59,Atlanta,0,,,,
31.3,08:20,12:00,Anchorage,0,,,,
31.3,08:25,11:52,San Jose,0,,,,
31.3,08:25,11:10,New Orleans,0,,,,
31.3,08:29,12:33,Antigua,1,,,,
31.3,08:30,11:32,Orlando,0,,,,
31.3,08:30,12:22,Santo Domingo,1,,,,
31.3,08:30,10:12,Memphis,0,,,,
31.3,08:35,11:40,Las Vegas,0,,,,
31.3,08:40,11:44,Sarasota,0,,,,
31.3,08:40,13:20,Anchorage,0,,,,
31.3,08:46,13:30,Aruba,1,,,,
31.3,08:48,11:49,Tampa,0,,,,
31.3,09:00,13:15,Antigua,1,,,,
31.3,09:00,12:12,Fort Lauderdale,0,,,,
31.3,09:00,12:58,San Juan,1,,,,
31.3,09:00,11:48,Louisville,0,,,,
31.3,09:00,12:08,Los Angeles,0,,,,
31.3,09:00,11:15,Charleston,0,,,,
31.3,09:00,12:02,West Palm Beach,0,,,,
31.3,09:00,13:45,Bogota,1,,,,
31.3,09:05,11:51,Phoenix,0,,,,
31.3,09:07,12:15,Cancun,1,,,,
31.3,09:10,12:10,Montego Bay,1,,,,
31.3,09:10,10:57,Raleigh/Durham,0,,,,
31.3,09:10,10:55,Memphis,0,,,,
31.3,09:15,10:58,Chicago,0,,,,
31.3,09:15,12:45,Seoul,1,,,,
31.3,09:22,12:50,Mexico City,1,,,,
31.3,09:30,10:42,Boston,0,,,,
31.3,09:35,12:58,Seattle,0,,,,
31.3,09:37,11:50,Detroit,0,,,,
31.3,09:40,13:01,Salt Lake City,0,,,,
31.3,09:42,12:05,Charleston,0,,,,
31.3,09:45,12:24,Atlanta,0,,,,
31.3,09:45,12:36,Las Vegas,0,,,,
31.3,09:49,13:30,Santiago,1,,,,
31.3,09:59,12:10,Charlotte,0,,,,
31.3,10:00,13:17,Cancun,1,,,,
31.3,10:00,14:35,Medellin,1,,,,
31.3,10:01,13:58,Cartagena,1,,,,
31.3,10:02,14:34,Aruba,1,,,,
31.3,10:15,13:18,Houston,0,,,,
31.3,10:17,14:46,Panama City,0,,,,
31.3,10:18,13:20,Cancun,1,,,,
31.3,10:19,14:10,Port Au Prince,1,,,,
31.3,10:25,13:54,Salt Lake City,0,,,,
31.3,10:30,12:51,Savannah,0,,,,
31.3,10:30,13:11,Vail,0,,,,
31.3,10:30,13:32,Tampa,0,,,,
31.3,10:32,13:35,Cancun,1,,,,
31.3,10:39,11:27,Trenton,0,,,,
31.3,10:45,14:26,Santiago,1,,,,
31.3,11:00,13:58,West Palm Beach,0,,,,
31.3,11:00,14:03,Fort Lauderdale,0,,,,
31.3,11:05,14:51,Punta Cana,1,,,,
31.3,11:18,14:13,Cancun,1,,,,
31.3,11:20,07:50,Dubai,1,,,,
31.3,11:28,14:21,Orlando,0,,,,
31.3,11:29,14:24,Montego Bay,1,,,,
31.3,11:30,14:23,Orlando,0,,,,
31.3,11:30,15:08,Puerto Plata,1,,,,
31.3,11:31,14:53,Los Angeles,0,,,,
31.3,11:45,15:29,Santo Domingo,1,,,,
31.3,11:52,14:00,Charlotte,0,,,,
31.3,11:56,15:44,Santiago,1,,,,
31.3,11:57,15:05,Miami,0,,,,
31.3,11:59,14:23,Atlanta,0,,,,
31.3,12:00,07:00,Baku,1,,,,
31.3,12:00,15:00,Tokyo,0,,,,
31.3,12:00,15:14,Miami,0,,,,
31.3,12:00,14:12,Cincinnati,0,,,,
31.3,12:00,14:19,Cincinnati,0,,,,
31.3,12:00,14:34,Beijing,1,,,,
31.3,12:00,15:20,Los Angeles,0,,,,
31.3,12:00,15:06,Fort Lauderdale,0,,,,
31.3,12:00,15:24,Los Angeles,0,,,,
31.3,12:10,13:23,Martha's Vineyard,0,,,,
31.3,12:15,13:44,Chicago,0,,,,
31.3,12:15,13:05,Middletown,0,,,,
31.3,12:30,12:00,Delhi,1,,,,
31.3,12:30,16:14,Santo Domingo,1,,,,
31.3,13:00,05:20,Istanbul,1,,,,
31.3,13:00,16:39,Santo Domingo,1,,,,
31.3,13:15,16:35,Tokyo,0,,,,
31.3,13:30,13:55,Liege,1,,,,
31.3,13:35,16:31,Orlando,0,,,,
31.3,13:35,16:20,Phoenix,0,,,,
31.3,13:45,17:29,San Juan,1,,,,
31.3,13:48,18:45,Bogota,1,,,,
31.3,13:50,17:45,Seoul,1,,,,
31.3,13:55,17:20,Seoul,1,,,,
31.3,14:00,16:29,Denver,0,,,,
31.3,14:00,17:04,Tampa,0,,,,
31.3,14:13,16:44,Jacksonville,0,,,,
31.3,14:25,18:05,Santiago,1,,,,
31.3,14:30,17:46,Miami,0,,,,
31.3,14:54,18:12,Fort Lauderdale,0,,,,
31.3,14:55,16:42,Raleigh/Durham,0,,,,
31.3,14:55,16:23,Rochester,0,,,,
31.3,14:55,16:30,Buffalo,0,,,,
31.3,14:55,16:30,Washington,0,,,,
31.3,15:00,18:06,Sun Valley,0,,,,
31.3,15:00,16:15,Syracuse,0,,,,
31.3,15:00,17:30,Halifax,1,,,,
31.3,15:05,17:26,Minneapolis,0,,,,
31.3,15:25,18:43,Miami,0,,,,
31.3,15:29,18:34,West Palm Beach,0,,,,
31.3,15:31,21:25,Guayaquil,1,,,,
31.3,15:35,18:34,Orlando,0,,,,
31.3,15:35,18:47,Fort Lauderdale,0,,,,
31.3,15:40,18:45,Orlando,0,,,,
31.3,15:45,18:35,Kingston,1,,,,
31.3,15:45,18:21,Atlanta,0,,,,
31.3,15:47,18:59,Fort Myers,0,,,,
31.3,15:50,21:33,Georgetown,0,,,,
31.3,15:59,19:54,San Juan,1,,,,
31.3,16:00,19:30,Mexico City,1,,,,
31.3,16:00,18:15,Beijing,1,,,,
31.3,16:05,19:27,Fort Myers,0,,,,
31.3,16:05,19:25,Mexico City,1,,,,
31.3,16:10,19:35,Los Angeles,0,,,,
31.3,16:18,19:40,Miami,0,,,,
31.3,16:25,19:25,Shanghai,1,,,,
31.3,16:30,20:11,Santiago,1,,,,
31.3,16:30,19:35,Tampa,0,,,,
31.3,16:30,20:19,Santo Domingo,1,,,,
31.3,16:33,19:50,Miami,0,,,,
31.3,16:39,19:39,Orlando,0,,,,
31.3,16:40,20:15,Los Angeles,0,,,,
31.3,16:41,19:18,Atlanta,0,,,,
31.3,16:41,20:16,Salt Lake City,0,,,,
31.3,16:45,18:03,Boston,0,,,,
31.3,16:55,20:33,Tokyo,0,,,,
31.3,16:55,20:20,Tokyo,0,,,,
31.3,16:59,20:57,San Francisco,0,,,,
31.3,17:00,20:25,Los Angeles,0,,,,
31.3,17:10,19:01,Chicago,0,,,,
31.3,17:15,20:40,Los Angeles,0,,,,
31.3,17:15,07:30,Rome,0,,,,
31.3,17:15,04:50,Dublin,1,,,,
31.3,17:15,06:50,Amsterdam,1,,,,
31.3,17:20,20:41,Seattle,0,,,,
31.3,17:30,20:55,Austin,0,,,,
31.3,17:30,19:44,Detroit,0,,,,
31.3,17:31,19:46,Charlotte,0,,,,
31.3,17:35,07:45,Milan,1,,,,
31.3,17:35,05:00,Sao Paulo,1,,,,
31.3,17:45,20:54,Fort Lauderdale,0,,,,
31.3,17:45,06:55,Paris,1,,,,
31.3,17:54,21:03,Fort Lauderdale,0,,,,
31.3,17:55,21:37,San Francisco,0,,,,
31.3,18:00,21:49,San Francisco,0,,,,
31.3,18:00,21:25,Mexico City,1,,,,
31.3,18:15,21:15,Tokyo,0,,,,
31.3,18:20,06:20,London,1,,,,
31.3,18:30,21:51,Los Angeles,0,,,,
31.3,18:30,08:00,Paris,1,,,,
31.3,18:30,11:00,Cairo,1,,,,
31.3,18:30,21:44,Portland,0,,,,
31.3,18:30,07:45,Amsterdam,1,,,,
31.3,18:30,06:30,London,1,,,,
31.3,18:45,22:35,San Francisco,0,,,,
31.3,18:45,21:15,Atlanta,0,,,,
31.3,18:55,21:24,Savannah,0,,,,
31.3,18:55,22:46,San Juan,1,,,,
31.3,18:59,22:51,San Juan,1,,,,
31.3,18:59,22:08,San Salvador,1,,,,
31.3,19:00,22:34,Los Angeles,0,,,,
31.3,19:00,20:35,Rockford,0,,,,
31.3,19:00,11:27,Istanbul,1,,,,
31.3,19:15,22:11,Lakeland,0,,,,
31.3,19:25,23:29,San Francisco,0,,,,
31.3,19:29,22:51,Miami,0,,,,
31.3,19:30,07:10,Dakar,1,,,,
31.3,19:30,07:35,London,1,,,,
31.3,19:30,09:10,Paris,1,,,,
31.3,19:30,22:24,Orlando,0,,,,
31.3,19:33,09:15,Madrid,1,,,,
31.3,19:40,21:20,Washington,0,,,,
31.3,19:45,21:44,Raleigh/Durham,0,,,,
31.3,19:50,22:34,Phoenix,0,,,,
31.3,19:59,23:08,Las Vegas,0,,,,
31.3,19:59,21:30,Burlington,0,,,,
31.3,19:59,23:24,Miami,0,,,,
31.3,19:59,23:22,Fort Lauderdale,0,,,,
31.3,19:59,21:34,Rochester,0,,,,
31.3,20:00,23:49,Santiago,1,,,,
31.3,20:00,20:42,Westchester County,0,,,,
31.3,20:10,23:10,Orlando,0,,,,
31.3,20:10,08:20,London,1,,,,
31.3,20:15,22:25,Atlanta,0,,,,
31.3,20:30,10:15,Paris,1,,,,
31.3,20:30,01:24,Bogota,1,,,,
31.3,20:30,09:45,Paris,1,,,,
31.3,20:35,00:27,Santo Domingo,1,,,,
31.3,20:35,08:16,London,1,,,,
31.3,20:40,10:00,Madrid,1,,,,
31.3,20:40,08:30,Casablanca,1,,,,
31.3,20:45,11:35,Helsinki,1,,,,
31.3,20:55,00:18,Los Angeles,0,,,,
31.3,20:55,16:25,Doha,1,,,,
31.3,20:59,22:36,Buffalo,0,,,,
31.3,20:59,22:18,Syracuse,0,,,,
31.3,21:00,22:17,Boston,0,,,,
31.3,21:00,22:22,Syracuse,0,,,,
31.3,21:00,22:33,Buffalo,0,,,,
31.3,21:05,17:50,Abu Dhabi,1,,,,
31.3,21:05,10:55,Zurich,1,,,,
31.3,21:15,11:35,Lome,1,,,,
31.3,21:29,22:49,Boston,0,,,,
31.3,21:35,09:40,London,1,,,,
31.3,21:40,23:25,Chicago,0,,,,
31.3,21:42,09:15,Dublin,1,,,,
31.3,21:55,09:50,Buenos Aires,1,,,,
31.3,21:55,23:38,Memphis,0,,,,
31.3,22:00,09:36,London,1,,,,
31.3,22:00,00:51,Phoenix,0,,,,
31.3,22:15,12:45,Warsaw,1,,,,
31.3,22:30,02:10,Santiago,1,,,,
31.3,22:30,00:30,Chicago,0,,,,
31.3,22:30,05:20,Singapore,1,,,,
31.3,22:35,11:29,Frankfurt,1,,,,
31.3,22:35,12:05,Frankfurt,1,,,,
31.3,22:37,23:55,Rockford,0,,,,
31.3,22:43,00:26,Memphis,0,,,,
31.3,22:46,09:40,Sao Paulo,1,,,,
31.3,22:47,00:47,Indianapolis,0,,,,
31.3,22:50,00:52,Louisville,0,,,,
31.3,23:00,19:45,Dubai,1,,,,
31.3,23:00,09:15,Sao Paulo,1,,,,
31.3,23:00,02:41,Santo Domingo,1,,,,
31.3,23:05,16:31,Rota,1,,,,
31.3,23:05,23:39,Philadelphia,0,,,,
31.3,23:10,00:58,Cincinnati,0,,,,
31.3,23:20,02:43,Mexico City,1,,,,
31.3,23:20,16:00,Istanbul,1,,,,
31.3,23:30,00:43,Hamilton,1,,,,
1.4,08:40,13:20,Anchorage,0,,,,
1.4,23:05,16:31,Rota,1,,,,
1.4,23:20,16:00,Istanbul,1,,,,
1.4,23:20,02:43,Mexico City,1,,,,
1.4,23:45,17:35,Tel Aviv-Yafo,1,,,,
1.4,23:50,13:50,Accra,1,,,,
1.4,23:59,03:41,San Juan,1,,,,
1.4,00:25,04:20,Hong Kong,1,,,,
1.4,00:30,18:00,Tel Aviv-Yafo,1,,,,
1.4,01:00,20:30,Doha,1,,,,
1.4,01:25,05:15,Taipei,1,,,,
1.4,02:10,07:00,Bogota,1,,,,
1.4,02:12,06:41,Panama City,0,,,,
1.4,03:01,14:48,Shannon,0,,,,
1.4,04:00,08:15,Mexico City,1,,,,
1.4,04:10,07:05,San Salvador,1,,,,
1.4,04:15,07:07,Anchorage,0,,,,
1.4,04:35,18:15,Milan,1,,,,
1.4,04:40,08:13,Anchorage,0,,,,
1.4,05:01,08:29,Santiago,1,,,,
1.4,05:01,08:38,Santo Domingo,1,,,,
1.4,05:40,08:41,Fort Lauderdale,0,,,,
1.4,05:55,09:27,Santiago,1,,,,
1.4,06:00,09:47,San Juan,1,,,,
1.4,06:00,08:33,Atlanta,0,,,,
1.4,06:00,09:09,Miami,0,,,,
1.4,06:01,09:46,Port Au Prince,1,,,,
1.4,06:01,08:50,Kingston,1,,,,
1.4,06:14,08:21,Charlotte,0,,,,
1.4,06:20,18:25,Leicestershire,1,,,,
1.4,06:29,08:17,Cincinnati,0,,,,
1.4,06:45,07:54,Boston,0,,,,
1.4,06:55,10:33,Salt Lake City,0,,,,
1.4,06:59,10:24,Los Angeles,0,,,,
1.4,07:00,10:17,Fort Myers,0,,,,
1.4,07:00,12:51,Georgetown,0,,,,
1.4,07:05,10:08,Tampa,0,,,,
1.4,07:10,10:33,Seattle,0,,,,
1.4,07:10,09:43,Jacksonville,0,,,,
1.4,07:10,10:18,Miami,0,,,,
1.4,07:10,10:17,Fort Lauderdale,0,,,,
1.4,07:15,09:33,Minneapolis,0,,,,
1.4,07:15,09:47,Atlanta,0,,,,
1.4,07:19,10:13,Orlando,0,,,,
1.4,07:20,10:34,Los Angeles,0,,,,
1.4,07:20,20:35,Luxembourg,1,,,,
1.4,07:25,10:34,Fort Myers,0,,,,
1.4,07:29,10:06,Fort Worth,0,,,,
1.4,07:30,10:50,Austin,0,,,,
1.4,07:30,11:08,San Francisco,0,,,,
1.4,07:30,11:55,Aruba,1,,,,
1.4,07:35,11:05,Seoul,1,,,,
1.4,07:41,10:50,Cancun,1,,,,
1.4,07:45,11:00,Miami,0,,,,
1.4,07:45,11:13,San Diego,0,,,,
1.4,07:46,12:30,Aruba,1,,,,
1.4,07:49,11:05,Liberia,1,,,,
1.4,07:50,10:30,Denver,0,,,,
1.4,07:53,11:38,Punta Cana,1,,,,
1.4,07:55,09:49,Louisville,0,,,,
1.4,07:59,11:38,San Francisco,0,,,,
1.4,07:59,11:56,San Francisco,0,,,,
1.4,08:00,10:35,Jacksonville,0,,,,
1.4,08:00,11:23,Liberia,1,,,,
1.4,08:00,11:07,Fort Lauderdale,0,,,,
1.4,08:00,10:10,Charleston,0,,,,
1.4,08:00,11:04,Montego Bay,1,,,,
1.4,08:00,11:43,Santo Domingo,1,,,,
1.4,08:00,09:43,Raleigh/Durham,0,,,,
1.4,08:00,11:28,Los Angeles,0,,,,
1.4,08:00,11:09,Miami,0,,,,
1.4,08:00,11:58,Saint Thomas,0,,,,
1.4,08:00,11:13,Cancun,1,,,,
1.4,08:00,11:50,Santiago,1,,,,
1.4,08:01,11:09,San Diego,0,,,,
1.4,08:05,11:11,Dallas,0,,,,
1.4,08:05,10:59,Montego Bay,1,,,,
1.4,08:05,11:57,San Juan,1,,,,
1.4,08:10,12:16,Punta Cana,1,,,,
1.4,08:15,20:00,London,1,,,,
1.4,08:15,11:33,San Jose Cabo,1,,,,
1.4,08:15,22:36,Leipzig/Halle,1,,,,
1.4,08:20,10:59,Atlanta,0,,,,
1.4,08:25,11:10,New Orleans,0,,,,
1.4,08:25,12:26,Sint Maarten,1,,,,
1.4,08:30,11:29,Tampa,0,,,,
1.4,08:30,10:21,Memphis,0,,,,
1.4,08:30,11:49,Austin,0,,,,
1.4,08:30,12:22,Santo Domingo,1,,,,
1.4,08:30,11:30,Orlando,0,,,,
1.4,08:35,11:40,Las Vegas,0,,,,
1.4,08:40,11:44,Sarasota,0,,,,
1.4,08:42,12:30,Providenciales,1,,,,
1.4,08:45,12:55,Sint Maarten,1,,,,
1.4,09:00,13:15,Antigua,1,,,,
1.4,09:00,12:56,San Juan,1,,,,
1.4,09:00,12:01,West Palm Beach,0,,,,
1.4,09:00,12:08,Los Angeles,0,,,,
1.4,09:00,11:40,Orlando,0,,,,
1.4,09:00,11:04,Louisville,0,,,,
1.4,09:00,12:09,Palm Springs,0,,,,
1.4,09:00,10:45,Chicago,0,,,,
1.4,09:00,13:31,Saint Lucia,1,,,,
1.4,09:00,12:23,Seattle,0,,,,
1.4,09:05,12:30,Los Angeles,0,,,,
1.4,09:05,11:01,Detroit,0,,,,
1.4,09:05,11:51,Phoenix,0,,,,
1.4,09:07,12:15,Cancun,1,,,,
1.4,09:10,10:52,Memphis,0,,,,
1.4,09:10,10:57,Raleigh/Durham,0,,,,
1.4,09:10,12:10,Montego Bay,1,,,,
1.4,09:15,10:58,Chicago,0,,,,
1.4,09:29,12:50,Nassau,0,,,,
1.4,09:30,10:42,Boston,0,,,,
1.4,09:30,09:39,Newark,0,,,,
1.4,09:35,12:58,Seattle,0,,,,
1.4,09:37,11:50,Detroit,0,,,,
1.4,09:40,13:01,Salt Lake City,0,,,,
1.4,09:42,12:05,Charleston,0,,,,
1.4,09:45,12:22,Atlanta,0,,,,
1.4,09:45,12:34,Las Vegas,0,,,,
1.4,09:49,13:27,Santiago,1,,,,
1.4,09:59,13:25,Key West,0,,,,
1.4,09:59,12:10,Charlotte,0,,,,
